## Unknown:

  1023135039: 0
  1054062909: 45279761
  1217646910: 44595916
  1237802302: 0
  1429194047: 0
  1540163901: 0
  1594046782: 0
  1730610495: 0
  1775978813: 0
  2415074621: 43754045
  2485082431: 0
  2500059453: 0
  2567172413: 44047928
  29785186: 29785186
  3111372092: 0
  32112219: 32112219
  3313970494: 0
  3540771132: 0
  35409324: 35409324
  35548184: 0
  3566457150: 0
  35907871: 35907871
  36434497: 36434497
  36435131: 36435131
  36571082: 36571082
  37023586: 37023586
  37141740: 37141740
  3723488572: 0
  37971030: 37971030
  38781006: 38781006
  39691627: 39691627
  3FingerAnimationSwitchApps: 36221438
  40047512: 40047512
  4005288253: 0
  40979072: 40979072
  41356296: 0
  4140343612: 41217123
  41508182: 41508182
  41981645: 41981645
  42265883: 42265883
  42768911: 42768911
  42905461: 42905461
  42916428: 42916428
  43349339: 43349339
  43480734: 43480734
  43598358: 43598358
  43669419: 43669419
  43698028: 43698028
  43699481: 43699481
  43729731: 43729731
  44077960: 44077960
  44078564: 44078564
  44532749: 44532749
  44533041: 44533041
  44571814: 44571814
  44573805: 44573805
  44573982: 44573982
  44614015: 44614015
  44655134: 44655134
  44667252: 44667252
  44717088: 44717088
  44741313: 44741313
  44741402: 44741402
  44780443: 44780443
  44879714: 44879714
  44925582: 44925582
  45123335: 45123335
  45137489: 45137489
  45799695: 45799695
  45825914: 45825914
  45832299: 45832299
  45886594: 45886594
  45926615: 45926615
  46111200: 46111200
  46192941: 46192941
  46536486: 46536486
  46635544: 46635544
  579051836: 0
  73386303: 0
  930363709: 38961939
  944458045: 42880016
  AADAclCertificateForNetworkService: 37014609
  AADBindingTokenLogonForRDP: 25585329
  AADClientIDForPRTHeader: 36670474
  AADCrossCloudB2BWAMSupport: 25510753
  AADKDFContextV2: 28991043
  AADRecoveryPasswordDeletion: 26987393
  AADShowErrorInUI: 19235072
  AADSupportInvalidateCacheAsyncInPlugin: 19583676
  AADVirtualDesktopTagging: 34862216
  AADWAMUniversalID: 22516394
  ADC: 40642155
  ADFSKDFContextV2: 31335338
  ADSD_LapsCmdletsShouldRequireElevationOnDCs: 0
  ADSD_LapsEscapeCharactersNotCorrectlyHandled: 0
  ANCID: 43021120
  APCE_fix: 44557781
  ASRTest: 38888144
  ATFOI_Test: 41066657
  AbydosInfra: 0
  AccessRegistryLockAcquireCount: 0
  AccessibilityFlyoutRejuvenation: 36416085
  AccessibilitySettingsBackupRestoreHandler: 45024493
  AccountsGroup_FirstPartySilentEnumSecondarySSO: 12509893
  AccountsServiceUdk: 28237372
  AcknowledgeReceiptOnLoad: 43200402
  ActionCenterNotification: 8598334
  ActionsPullLimit: 44574455
  AddDataToRequestGETMethod: 42948817
  AddExtensionPackagesBeforeResourceAccess: 46722668
  AddLoggedInUserToFamilyRoster: 36462142
  AddPhoneButton: 11618552
  AddSourceWindowFromViewNavigationRequested: 9205753
  AddSwitchAsyncContextToPositionerActivations: 9582236
  AddTextToSpeechPackages: 13516602
  AdvancedColorBrightnessSlider: 12259052
  AdvancedColorSettingsPage: 10834416
  AeinvLock: 37678576
  AepicLock: 37712552
  AeroShakeEnabled: 29983356
  AgentActivationRuntimeAPI_AboveLock: 20829994
  AlarmsOnlyDeprecation: 36133780
  AllowBypassUndockedShellHostCheck: 43418350
  AllowColorimetryWithoutMHC2: 45194707
  AllowCustomSSPsAPs: 37242222
  AllowDevHomeUpdateForUO: 45520592
  AllowImpersonationTokenToWorkOnCallToCdsUdkApis: 41309836
  AllowMaxSupportedItemNameSizes: 45676407
  AllowOemToForceNightLightUsingDES: 34718006
  AllowOutlookUpdateForUO: 45293209
  AllowTFLUpdateForUO: 45293196
  AltTabModal: 36226836
  AmbientDeviceLighting: 35262205
  Annotations: 12221178
  ApiLogging: 22006889
  AppBackgroundPermissions: 29616923
  AppDataBackupRestore: 35763176
  AppDefaultApplicationPageLaunch: 39713079
  AppDefaultHashRotation: 43229420
  AppDefaultVersionForPolicy: 23954010
  AppDefaultsAutoSuggestBox: 33154494
  AppDefaultsBrowserButton: 36648580
  AppInstallBatching: 6867405
  AppIsolationSeparateSublayer: 6268226
  AppLaunchDb: 37347557
  AppRestorePlaceholders: 41088358
  AppRestorePlaceholdersWait: 43968183
  AppRestorePolicyRemediation: 44507213
  AppUriHandlerWildcardSupport: 11539576
  AppVContainer: 8295088
  ApplicationFrameTitleFromWindowManager: 26290763
  ApplicationGuardDownloadToHost: 13740217
  AppraiserSVChecks: 32064666
  AppsFolderChangeNotify: 37601784
  AppxOptimizationsInAuditMode: 39662856
  ArbiterBaselineMetadataAcquisition: 42073314
  ArbiterMetadataContainer: 38339672
  ArrowKeysUnselect: 17685567
  ArticulatedHand2DInteraction: 18127454
  ArticulatedHandData: 17781907
  AssignedAccess_MultiApp: 39714986
  AsyncVmBusMessages: 0
  AtomicCheckFailure: 0
  AttributeManagerSingleton: 37586555
  AttributeProvidersConcurrentRefresh: 39379499
  AudioEndpointBuilderTopoPerfImp: 27511625
  Audio_MultiChannelRenderAttempted: 11831216
  Audio_Spatial_VSSPlayed: 11901839
  AuditBehaviorShellExperience: 37014865
  AuditGdi32LoadForFontdrvhost: 0
  AugmentedEntryPoint: 36226054
  AuthorityChangesForAGC: 25884645
  AutoGameMode: 11015710
  AutoGameModeProfile: 11650261
  AutoGamePowerProfile: 14290802
  AutoInitSystemMRTResourceManager: 36329833
  AutoRestartWidgets: 43837678
  AutopilotReset: 21412447
  AutopilotRestoration: 37048941
  AutopilotUpdateInOobe: 18248749
  AvoidCreatingViewWhileSuspending: 33362568
  BAM_SeverParentChildConnections: 36646996
  BIETSCWTest: 41255619
  BSTAImmersiveShell: 37077905
  BackgroundBackupRestoreHandler: 34875338
  BackgroundInstalls: 37746346
  BackgroundRestoreHandler: 45026375
